time,open,high,low,close
2022-07-05T21:30:00+03:00,3802.37,3826.64,3802.37,3824.56
2022-07-05T22:30:00+03:00,3824.46,3832.19,3819.51,3831.38
2022-07-06T16:30:00+03:00,3834.6,3848.9,3820.29,3833.82
2022-07-06T17:30:00+03:00,3834.01,3837.27,3814.78,3818.33
2022-07-06T18:30:00+03:00,3818.38,3821.12,3809.37,3818.77
2022-07-06T19:30:00+03:00,3818.74,3832.19,3816.68,3826.2
2022-07-06T20:30:00+03:00,3825.93,3844.26,3820.41,3843.38
2022-07-06T21:30:00+03:00,3843.44,3866.35,3840.91,3865.54
2022-07-06T22:30:00+03:00,3865.43,3870.91,3837.98,3845.09
2022-07-07T16:30:00+03:00,3858.85,3888.58,3858.85,3880.65
2022-07-07T17:30:00+03:00,3880.76,3892.79,3878.48,3884.61
2022-07-07T18:30:00+03:00,3884.42,3893.78,3882.9,3892.6
2022-07-07T19:30:00+03:00,3892.69,3896.47,3887.17,3887.39
2022-07-07T20:30:00+03:00,3887.41,3902.34,3886.62,3902.05
2022-07-07T21:30:00+03:00,3901.9,3910.63,3896.06,3903.27
2022-07-07T22:30:00+03:00,3903.3,3907.61,3898.77,3902.63
2022-07-08T16:30:00+03:00,3885.22,3905.19,3869.34,3903.01
2022-07-08T17:30:00+03:00,3903.12,3918.5,3900,3915.94
2022-07-08T18:30:00+03:00,3915.92,3917.97,3892.08,3892.22
2022-07-08T19:30:00+03:00,3892.25,3895.34,3879.32,3895.27
2022-07-08T20:30:00+03:00,3895.26,3908.42,3892.12,3908.13
2022-07-08T21:30:00+03:00,3908.21,3915.3,3906.11,3907.48
2022-07-08T22:30:00+03:00,3907.58,3908.63,3897.1,3899.37
2022-07-11T16:30:00+03:00,3872.1,3879.94,3848.8,3854.57
2022-07-11T17:30:00+03:00,3854.66,3866.65,3853.11,3862.55
2022-07-11T18:30:00+03:00,3862.75,3864.97,3853.01,3858.82
2022-07-11T19:30:00+03:00,3858.8,3874.11,3856.9,3873.7
2022-07-11T20:30:00+03:00,3873.66,3880.05,3864.4,3865.34
2022-07-11T21:30:00+03:00,3865.27,3868.98,3851.04,3854.6
2022-07-11T22:30:00+03:00,3854.61,3856.99,3847.22,3854.44
2022-07-12T16:30:00+03:00,3851.95,3873.41,3837.87,3840.85
2022-07-12T17:30:00+03:00,3841.02,3863.07,3841.01,3862.34
2022-07-12T18:30:00+03:00,3862.43,3864.73,3851,3858.52
2022-07-12T19:30:00+03:00,3858.4,3865.08,3848.82,3852.45
2022-07-12T20:30:00+03:00,3852.49,3857.58,3848.75,3849.84
2022-07-12T21:30:00+03:00,3849.87,3850.96,3813.53,3814.55
2022-07-12T22:30:00+03:00,3814.51,3822.06,3802.36,3818.79
2022-07-13T16:30:00+03:00,3779.67,3792.19,3759.07,3776.91
2022-07-13T17:30:00+03:00,3775.91,3820.03,3773.89,3800
2022-07-13T18:30:00+03:00,3799.99,3810.03,3792.23,3809.47
2022-07-13T19:30:00+03:00,3809.5,3829.44,3807.75,3819.01
